m1,m2,m3,m4,laser,target
0,0,1,1,10.49780566,82.02049368
1,0,1,0,4.177820685,66.51520001
0,0,0,0,1.341312571,68.47332368
1,0,1,1,10.05867874,81.65605212
1,0,0,0,9.991243119,71.68421531
1,0,0,0,14.13801803,75.46407416
1,1,1,0,14.89501386,74.18421842
1,0,1,0,14.55582977,87.96349319
1,1,0,1,8.191174658,65.11156981
1,1,0,0,12.63379574,83.54516821
1,1,0,0,11.53890485,78.28938942
1,0,1,1,8.431235122,80.10560348
1,1,0,0,11.94425388,80.3605162
1,0,1,0,18.94495753,91.18930673
0,1,0,1,3.857874874,73.6080877
0,1,1,0,18.11544192,83.89612145
1,0,0,1,1.06911028,58.70650327
1,1,1,0,6.167784258,77.09332381
1,1,0,1,5.762904972,63.25395424
1,1,0,0,12.52730216,92.73131901
1,1,0,0,2.624499036,71.21978941
1,0,0,1,17.64695224,83.58030716
1,1,1,0,16.57102817,73.31348293
1,1,1,1,13.04131639,82.82726466
0,0,1,1,9.168276636,74.34527214
1,1,1,1,18.65912084,94.52850748
0,1,1,1,16.61493109,89.50154499
1,1,0,0,9.986302962,69.99756452
1,1,1,1,14.03746709,82.48055342
0,0,1,0,11.33859904,92.99024376
1,1,1,0,11.75884477,63.24812348
0,0,1,1,6.619521389,73.56654613
1,1,0,1,9.241692092,76.34150288
1,1,0,0,1.562428616,75.15928182
0,1,0,1,7.146973833,79.4313939
1,0,0,0,13.91657031,88.59705085
0,1,1,1,19.06432061,88.14941875
1,1,1,0,19.26128226,94.10055251
0,0,0,0,11.11445738,79.89177002
0,0,0,1,12.13244504,93.14559372
1,0,1,0,3.71442371,63.7439949
1,0,1,0,13.90616216,78.32969304
0,1,0,1,1.413175853,54.69758291
1,1,0,1,5.693713716,78.26278704
1,1,0,1,13.36726695,91.48574925
1,1,0,1,6.206202631,66.91284552
0,0,1,1,0.996937482,65.91661196
0,1,1,0,16.63740819,78.04120395
0,1,1,0,6.206600143,74.38903059
0,1,0,1,1.262104497,63.36262905
0,1,1,0,1.49576329,65.25982397
0,0,1,0,5.035175976,74.75377163
0,1,0,0,3.560318944,64.46763842
0,1,0,0,15.48600236,80.6651065
0,1,0,0,6.433680933,79.01748244
1,0,0,1,16.0939157,71.13332563
0,0,0,1,3.476919956,76.43723739
1,1,0,0,9.857583591,72.29652067
1,1,1,0,13.76074267,89.50215245
1,1,1,1,13.03981708,81.27148278
0,0,1,1,12.0225882,89.36448785
0,1,1,1,18.49643204,77.3585028
0,1,1,1,4.570502954,62.76975218
0,1,1,0,9.874384089,92.88025191
1,0,0,1,17.679851,86.78205776
0,1,0,1,1.557875312,70.39118757
0,1,0,0,1.117765365,76.2687077
0,0,1,1,4.666045751,59.94302587
0,0,1,1,12.66042439,81.24392026
0,1,0,1,5.197592529,70.89367358
1,0,0,1,3.804797676,69.53858897
0,1,0,1,9.176046307,66.12855404
1,0,0,0,12.27196138,68.65071155
0,0,0,0,4.97115414,78.1090722
1,1,1,0,6.013823734,76.01285961
0,1,1,0,12.2711861,92.58566247
0,1,1,0,18.91476844,92.15381759
1,0,0,1,13.49483455,85.47154993
1,1,1,1,15.65808287,90.14569836
1,1,0,1,7.336201895,78.72452753
0,1,1,1,5.445087188,72.57003817
1,1,0,1,9.085354864,75.00549488
0,1,0,1,16.14265657,78.97573005
0,0,1,1,9.125992836,79.31886954
1,1,1,1,16.93450818,84.35349263
1,1,1,1,19.77543961,93.46922667
0,0,1,1,1.440533315,72.13578913
0,1,1,1,0.908203122,62.4395901
1,1,0,1,2.991794058,74.18321568
1,1,1,1,7.687393515,73.75306678
1,1,1,0,2.620844183,52.46877081
0,1,0,1,17.41328955,88.68318575
0,0,1,0,0.462925021,82.52705827
0,0,0,1,6.315854327,85.35536489
0,0,1,1,3.69389259,75.15898029
0,1,1,1,18.6307866,85.69446367
0,0,0,0,13.3896201,74.88639729
1,1,1,0,18.24060513,83.38022226
0,1,1,1,19.44657421,99.88455614
0,1,1,1,9.941964874,81.07177062
0,0,1,1,4.686382161,81.83651449
1,0,0,1,3.874575724,77.47912157
0,0,0,0,4.458377234,84.00828678
0,1,1,0,14.17186615,85.21450511
1,0,1,1,0.808914562,64.0379461
0,1,0,0,1.027221461,68.80528128
0,0,0,0,12.16285885,98.12007613
0,0,1,1,12.84114293,77.69077407
0,1,0,1,13.30525849,92.28698169
0,1,0,1,7.437610092,85.0192677
1,0,0,0,16.11889777,96.34726288
1,0,0,1,10.67249175,73.83299299
1,0,1,0,2.1093126,60.55126721
0,1,0,1,15.94198614,88.51339653
0,1,1,1,19.06135573,98.51800386
0,0,1,0,1.20072626,76.28204026
1,0,0,0,7.827026774,65.04157102
0,1,1,0,9.750320897,77.06203414
0,0,1,0,2.929415202,79.56355108
1,1,0,0,17.35417896,82.43315529
0,1,0,0,5.682992898,86.01106346
1,1,0,1,15.6601708,81.87897183
1,1,1,0,13.41988964,90.46212162
1,1,1,0,11.96091645,79.60909259
0,1,1,1,3.842856974,64.31901043
0,0,1,0,4.414070411,75.06211149
0,1,0,0,0.946968095,77.42172389
0,1,1,1,4.814248596,68.19980151
0,0,0,1,6.908872189,82.38943411
0,1,0,1,16.66290608,83.18426088
0,0,0,0,7.327853334,89.91889174
1,1,0,1,15.09243566,74.14126319
0,0,1,0,8.788845626,75.87863314
1,0,0,1,15.69736624,83.80981718
0,1,1,0,19.52543201,86.59138718
0,1,0,1,4.796831161,73.83510418
0,1,0,1,17.24683224,85.61180433
1,1,0,1,12.43648173,72.19204925
1,0,1,0,16.34588523,73.54203601
1,0,0,0,13.03171805,96.53825488
1,0,0,1,8.478990145,72.56154243
0,1,0,1,4.561498789,71.7375915
1,0,0,1,1.400704507,67.08748904
0,1,1,1,10.71036729,75.06148056
0,1,1,0,19.80652189,85.81335938
1,0,0,1,14.7608361,92.84115006
1,1,0,1,6.546910828,68.67620093
1,0,1,0,16.544096,90.76605505
1,1,1,0,15.37968,69.15832319
1,0,1,1,5.632715867,74.67133419
1,1,0,1,0.286149796,73.97710087
1,0,1,0,2.363252771,68.22093668
1,0,0,0,17.54612381,85.391514
0,1,1,1,16.73126071,79.34648692
1,1,1,0,5.904180018,61.17622647
1,0,0,0,5.703908526,80.83145838
0,1,1,1,15.85729974,76.53651566
1,1,0,1,18.7547494,100.3546412
0,1,1,0,15.58274514,81.11662882
0,0,0,1,12.11157354,84.5369946
1,0,1,1,4.853427007,69.22806747
0,1,1,1,10.51495828,66.70227398
0,1,0,1,4.670237172,71.97878731
0,0,0,1,16.1602284,95.93930494
0,1,0,0,7.73922159,84.47177395
1,0,0,0,16.67394434,88.73599141
0,1,1,1,7.63218436,78.77115716
1,1,1,1,16.4829881,92.37718812
0,1,1,1,6.666356303,78.79275827
0,0,1,0,8.802654092,71.84105098
0,0,1,0,12.30976839,81.10867059
0,0,1,0,1.405752281,60.20064073
1,0,0,0,18.96414124,85.84121516
1,1,1,1,11.47211572,85.4548696
0,1,1,1,10.15640029,78.85134725
0,0,0,0,16.78787942,88.75188688
1,1,1,0,17.3152546,89.85367462
0,1,1,1,10.44520809,78.93240262
0,0,1,1,18.54524652,87.56655863
0,1,0,1,1.294755322,65.62536825
1,1,0,1,2.264515845,70.32862433
1,0,1,1,11.9357646,66.86758422
1,1,0,0,7.081317236,79.10384852
0,1,1,1,9.284503324,70.3285253
0,1,1,0,6.561584358,79.36958835
1,0,1,0,8.094506229,88.92918722
1,0,0,1,16.45292694,88.14448265
1,1,1,0,11.869524,72.62993736
1,1,1,0,19.94689099,82.01293489
0,1,1,1,15.73758396,71.4742986
1,0,1,0,5.473325082,85.03861861
0,0,1,1,5.286902355,73.31054905
1,0,0,1,6.717965402,67.87714577
0,1,1,0,16.86518961,88.90374202
1,1,0,1,0.545753013,61.4977403
1,1,1,1,4.603625577,66.78597356
1,1,0,0,18.09836841,83.25257869
1,1,1,1,12.79792872,75.87621319
0,0,1,0,4.53694191,72.55540038
1,1,0,0,4.382899365,66.56007769
0,1,0,1,17.25236204,98.89097205
0,1,1,0,17.87515017,79.38949468
0,0,0,1,5.122621819,66.1223693
0,1,0,0,8.410207162,81.84500427
1,0,1,1,16.69191477,75.34495019
0,0,1,1,15.42014877,92.20494509
0,0,1,0,16.27832213,89.27343922
0,0,1,0,10.36796382,81.84176297
1,0,1,1,18.23098097,80.32209408
1,1,0,1,6.519030879,71.10678464
1,1,1,0,3.133442687,58.44798287
1,0,0,1,14.17464665,79.77661149
0,0,1,1,10.78708832,80.85688207
0,0,1,0,17.09171538,96.48004123
1,1,0,0,1.623184982,68.85676855
0,1,1,1,16.87384807,82.74091703
0,0,0,0,5.865893064,87.13794867
0,1,0,0,13.09711334,75.5235467
1,1,0,1,0.802575782,59.71319656
1,0,1,0,12.19162593,80.61591479
0,0,1,0,14.34543378,87.07675935
1,1,1,1,7.37500429,64.52826073
1,1,1,0,4.308214105,65.79694284
1,1,1,1,10.75261353,75.24748773
1,0,1,0,16.66381609,76.42251472
1,0,0,0,6.470947166,78.053291
0,0,1,1,5.04938595,74.20084295
1,1,1,0,5.578706173,76.09832212
0,1,1,0,18.98264306,85.22583559
0,0,1,0,7.185538315,65.76241302
1,1,0,0,0.072084798,57.51356212
0,0,0,0,15.63362416,99.03387088
0,1,0,0,13.98549591,97.64445635
0,0,0,1,2.571365292,80.55667852
1,1,0,0,19.69808498,101.2814606
1,1,1,0,12.16124571,88.35006253
0,0,0,1,10.01558982,88.63899802
1,0,0,1,7.644385352,80.36991698
1,0,1,1,17.97345511,87.88870475
1,0,1,0,4.879269628,69.02044509
1,0,0,1,5.715378004,82.04925935
0,1,1,1,2.448216134,67.61243651
0,0,1,0,15.18238191,76.57207772
1,0,0,1,11.91098561,70.66789469
1,0,1,0,12.18132339,78.16404371
0,0,0,0,4.36940862,88.1889905
0,0,0,0,13.02336778,77.42253484
1,1,1,0,15.30916894,90.71219307
0,0,0,0,7.157770615,68.69441095
1,0,0,1,16.02694288,91.14336042
1,0,1,0,6.975811771,77.09999589
0,1,1,1,15.16276923,79.05484807
0,1,1,0,0.674602149,73.53392764
1,0,1,1,11.02329203,83.79826088
1,0,0,0,19.39053121,101.9979588
0,1,1,0,19.62489201,94.9041757
1,1,1,0,5.635051567,74.74654569
0,1,0,1,8.827981822,71.68583217
1,0,0,1,1.25955816,56.51738028
0,0,0,1,17.46682615,89.06279926
0,1,0,0,11.37144306,72.4274766
0,0,1,0,7.702013579,79.36467815
1,1,1,1,2.25541117,50.54603533
1,1,0,0,18.93534571,78.50312464
0,1,0,1,10.60438096,87.81730763
1,0,0,0,5.658558582,73.27828466
0,1,0,1,7.004302603,78.11760738
0,1,1,1,5.413943618,68.20989539
1,0,0,0,12.03619618,84.33209671
1,1,1,1,18.59927152,82.04445557
0,0,0,0,17.13387607,94.85524723
1,1,1,0,9.207617509,75.54437131
1,0,1,0,16.52998725,78.97240384
0,1,1,1,8.462109626,74.602726
0,1,1,1,5.046142815,57.32277403
1,1,0,1,19.66830231,82.58632621
0,1,1,0,6.077751359,67.88216483
0,1,0,0,6.47448462,75.41041107
1,0,1,1,19.79385736,90.21044423
0,0,1,0,2.678549863,81.31369186
0,1,0,0,15.21067976,97.45831483
1,1,0,1,18.71625517,82.25510226
1,1,1,1,10.23589989,76.151574
0,0,1,0,0.050435234,79.67281286
0,0,0,0,7.501178882,91.83694827
1,1,1,1,2.231379848,56.73263703
1,0,0,1,8.323753219,75.80109448
1,1,0,0,15.80053523,79.24136374
1,1,0,0,8.774230978,80.74942498
0,1,1,0,8.638502427,78.6596357
1,0,1,1,11.13578954,79.10408883
1,1,0,0,11.63381169,91.70487204
0,1,0,0,17.12592618,95.31754243
1,1,0,0,6.167108785,71.97291809
0,0,0,0,16.43342529,83.32507419
1,0,1,0,11.31867497,73.30959125
1,0,0,0,6.010590994,79.1857442
1,1,1,1,5.90252088,80.71269163
0,0,0,1,7.222750342,76.66586232
0,1,1,1,12.45386485,88.16250127
1,0,1,0,4.616234627,64.90757086
0,1,1,1,18.40667123,79.49959826
0,0,1,0,11.49825168,95.19084171
0,1,1,0,18.40031554,90.55682904
0,0,0,0,0.928087172,66.71980193
0,0,0,0,6.852227409,79.96087484
0,0,1,0,0.456153214,81.45837965
1,1,0,1,5.445036302,69.82327238
1,0,0,1,17.24012945,80.93669806
0,0,0,1,0.732194317,71.66987324
1,0,0,0,8.722941998,90.47118203
1,0,0,1,2.351341409,55.63812242
1,1,0,0,8.336813185,65.86136453
1,0,0,1,16.77703169,75.51489294
0,1,1,1,12.46142067,71.79869248
1,1,0,1,14.73512691,69.70442772
1,1,0,1,6.982082309,68.58791315
0,1,0,1,18.8879539,93.55008533
0,0,1,1,14.18524188,86.13351658
1,1,1,0,8.435976386,78.94043447
1,1,0,0,8.529296005,74.69904285
1,1,1,0,18.37368356,94.83934778
1,1,1,0,11.52809387,81.54109424
1,0,0,0,14.1275842,93.7190902
1,0,1,1,8.34070449,71.21726663
0,1,0,0,4.473855295,65.56463892
1,1,1,0,14.47118584,83.90029996
1,1,0,0,12.15647544,83.24330542
0,0,1,0,10.02685761,79.22301061
0,0,0,0,12.4804188,99.85422368
0,0,0,0,4.165711721,83.3257079
0,0,1,0,15.87877413,95.48320076
1,0,0,0,18.9632561,95.30140471
1,1,0,0,17.82206288,79.07209495
1,0,1,1,6.428714906,73.12361641
1,0,0,0,8.120115466,85.28926319
1,1,0,0,16.168046,80.64929853
1,0,1,1,11.90234262,84.9977593
0,0,0,1,10.95828887,89.12776454
1,0,1,0,18.53283935,79.91077423
0,1,0,0,10.72049922,78.44281109
0,0,1,0,10.29877359,89.56724273
1,1,1,1,0.840371825,49.63551182
0,1,0,0,1.388339172,63.10895537
1,0,1,1,0.148406158,63.21122472
0,0,0,1,18.26488452,94.20629704
1,0,0,1,8.1677332,92.45103294
0,0,1,1,9.371227523,78.1265517
1,1,0,1,16.90773895,82.65854426
1,0,0,0,12.18492621,93.14604616
1,1,1,0,12.19003193,80.57902904
1,1,0,1,5.930688587,63.32542601
1,1,0,1,16.67816748,87.54204338
0,1,1,1,3.316599521,61.50769172
0,1,0,1,1.062991843,68.04444521
0,0,0,0,3.83206715,86.98215548
1,1,1,1,5.354744375,64.4754894
0,1,0,1,5.646221157,64.93512169
1,0,0,0,13.41027197,83.46391393
1,0,1,0,4.356491747,63.8605913
0,1,0,0,13.53316609,84.66277406
0,1,0,0,1.822643465,69.26749521
1,0,1,1,2.944049222,66.28218759
0,1,1,1,10.17642897,77.06594162
1,0,0,1,18.43791605,96.6773742
1,0,0,1,17.19135178,90.37506643
1,1,1,1,19.37506885,81.29403739
1,0,0,1,13.00958131,98.20199682
1,1,0,1,13.51629733,76.18231144
0,1,0,1,12.50045998,89.80707632
0,1,1,1,12.45637846,75.25376455
1,0,0,0,2.942406901,66.65695848
1,1,0,1,10.87477912,75.70079822
0,0,1,0,7.721358669,87.34991735
0,1,1,0,8.850744316,87.29420376
1,1,1,0,10.47201146,66.70523303
0,0,0,0,2.567923436,77.15622239
1,1,0,1,7.189754677,69.42832095
0,1,1,0,1.268991218,65.30521665
1,0,0,0,19.59336261,100.4453401
0,0,0,1,2.370560576,82.32979895
1,0,0,0,5.170494771,73.74956365
0,1,0,1,17.82585853,92.22350182
0,0,1,1,9.654200925,71.86330606
1,0,1,1,2.71274403,68.88659507
0,1,0,1,7.684610761,75.0476182
1,0,1,0,2.317359884,60.12962683
0,1,0,1,4.004319942,75.25152947
1,1,0,0,1.040596939,61.82191612
0,0,1,0,8.764549891,73.21220404
1,1,1,1,16.13272243,84.31886345
0,0,0,0,11.71938357,86.68127887
1,0,0,1,12.12690611,92.01117209
0,0,0,0,4.011680602,70.3399034
1,0,0,0,6.877876865,80.44045703
1,1,1,0,16.90484208,79.63628527
1,1,1,0,1.757123687,64.30928974
0,0,0,1,17.15861307,79.8264653
1,0,0,1,9.673800525,70.04140059
0,1,1,0,16.74294863,80.69292124
1,0,0,0,6.360128388,84.33743318
0,1,1,0,6.776859032,74.22592874
1,0,0,0,15.03209737,98.1757569
0,1,1,1,15.69992347,87.04838669
0,1,0,0,4.59289356,70.40971588
1,1,0,0,19.4574265,85.03665124
0,0,0,0,1.689802085,78.04216831
0,0,1,1,1.370059262,58.66726307
1,0,1,0,11.91008431,77.8662747
0,0,0,1,14.45481536,78.32264906
0,0,0,1,19.21772258,97.78183804
0,1,0,0,8.098915616,81.31226123
1,1,0,0,0.50582818,74.77901261
0,1,1,0,12.05792679,74.58175289
1,1,1,1,5.793920412,74.61339171
0,1,1,1,8.658942424,78.88908947
0,1,0,0,9.769389645,68.95507707
0,1,0,1,1.290252215,65.44416274
1,0,1,0,9.719635691,67.07600539
0,1,0,0,8.526393336,83.19388046
0,0,1,0,14.25088531,82.33617019
1,1,1,0,12.91331822,74.78070089
0,1,1,0,3.704314363,69.02448358
1,0,1,0,4.122778364,55.83574832
1,1,0,1,5.020123575,74.13630901
0,0,1,1,3.579008806,83.41289546
1,1,0,1,13.14426399,71.75640787
0,0,1,0,19.88860358,100.9941577
1,1,1,0,13.04216681,73.35040409
1,0,1,0,12.13363092,89.11940593
0,0,1,1,8.198558667,66.21912152
1,1,0,0,6.251605177,68.75077812
1,1,0,1,18.22147514,90.57732945
1,0,0,0,19.38003748,104.2968869
1,1,0,1,9.935523512,91.92497782
1,0,1,0,5.80400991,74.84198493
0,1,0,0,15.40244415,98.87750287
1,0,0,1,2.649135817,83.01409796
0,1,1,1,15.31176475,69.26433904
1,0,0,1,16.37896749,83.48331449
0,1,0,0,2.498078893,77.15844953
0,0,0,1,19.53722938,82.2706543
1,0,0,1,19.71024581,93.12850691
1,1,1,0,18.73438959,88.60087195
1,1,1,0,9.920696188,77.89839876
0,0,0,1,4.921482846,93.33160487
1,0,1,0,11.64018562,72.84821215
0,0,0,1,8.398676769,78.52069681
0,0,0,1,4.118972894,74.79978252
0,1,0,1,8.473528192,74.33802074
1,0,1,0,13.27779671,79.30523458
1,0,1,1,1.418266216,70.67607359
0,0,1,1,6.668360029,87.19573316
0,1,1,0,0.3558978,73.09464951
1,0,1,1,14.98991011,86.79830725
0,1,1,1,12.81382535,86.30544504
1,1,0,1,1.253442694,63.94907741
0,1,1,0,19.29475119,88.24385588
1,1,0,1,0.452431143,70.68320061
0,1,0,0,11.79921293,78.27645579
1,1,1,0,15.52734924,84.33175633
0,1,0,1,15.75792626,90.23022005
1,0,0,1,0.685702712,69.57799524
1,0,0,0,18.12830265,88.56268335
0,1,1,1,18.36903344,76.15282537
0,0,1,1,11.22780746,88.15615337
1,0,0,0,9.641663978,81.2011804
0,1,1,1,0.897349261,54.60690627
1,0,0,1,11.23908285,81.29826642
0,1,1,0,8.187581635,70.5614738
1,0,0,1,15.45612815,95.30426045
1,1,0,0,8.077671338,86.12582891
1,1,1,0,13.67161667,64.25107853
1,0,1,1,2.028162925,54.78138733
1,0,1,0,2.659045415,65.3284467
1,1,1,1,2.794203813,74.58301906
0,1,1,1,0.910509996,70.73845216
0,1,0,0,10.82657719,86.14785948
0,0,0,0,15.87935452,85.36375467
1,0,0,0,12.20822407,79.84070172
1,0,1,0,11.49909771,88.79627691
1,0,1,0,13.61247857,94.75536306
1,1,0,0,6.792906461,71.81861256
0,1,0,1,7.239081433,89.75985414
0,1,0,1,6.285401964,68.56542058
1,1,0,0,14.24217866,85.66571108
0,0,1,1,3.232806713,83.82262728
0,1,0,0,0.260505606,70.71338834
1,1,1,0,11.92392893,87.61830426
0,0,0,1,18.84762729,101.9499231
1,0,1,1,12.18815834,80.37317531
0,1,1,0,15.65843306,79.69186263
1,0,1,0,13.45581419,80.43829972
1,1,1,0,9.94873307,81.20690655
1,0,0,1,14.36784804,84.3559863
1,0,0,0,16.48208248,96.58145784
0,1,0,0,4.494632883,77.63065257
1,0,1,1,6.72260961,79.71690502
1,1,0,1,4.47451465,78.37592951
1,0,0,1,9.043459112,84.52620729
0,0,0,0,17.70129102,100.180197
1,0,1,0,6.904142017,75.80688428
0,0,1,1,7.489337783,74.45061916
1,0,1,0,17.20734469,96.32496209
0,1,0,0,10.30748661,86.33780261
0,0,0,1,10.70897999,89.85207929
1,1,0,1,17.21602407,88.8834982
0,0,1,0,9.810534741,81.60203116
1,1,0,1,13.63115069,84.05946789
1,0,1,1,1.712893317,71.02297125
1,1,1,0,3.572634263,76.63983446
0,1,1,0,8.087524014,71.57049215
0,0,1,0,9.896781356,78.04428271
1,0,0,0,19.31467402,85.80717216
1,0,0,0,19.41303266,104.3011053
0,1,1,0,17.02394175,82.56920711
1,1,0,1,6.311976706,65.87173661
1,0,1,1,19.28056582,89.02766583
1,0,0,1,13.78681729,92.47161284
0,1,0,0,7.858802556,90.30229701
0,1,1,0,14.03349834,86.5651472
0,0,1,0,0.330454596,61.04456697
1,1,1,0,2.923093645,67.46092896
1,0,1,0,16.59371423,92.31544164
1,0,0,1,12.91147274,80.38035911
0,0,1,0,7.283894026,71.28898249
1,1,0,1,10.0133328,72.12184338
1,1,1,0,18.10284299,89.59644954
1,1,0,1,12.63156219,71.41481935
1,1,1,1,7.962985679,70.47466861
0,0,0,1,2.406533148,80.07702238
0,1,0,1,5.874936033,81.86538157
1,0,0,1,19.56680466,80.80472438
0,0,1,1,8.747261257,71.12323575
0,0,1,1,9.436789277,71.35721583
1,1,1,0,9.971960648,69.22384216
1,0,1,0,17.68208046,85.49126429
0,0,0,1,12.07856569,83.28605959
1,1,0,0,13.87354073,74.5582892
0,0,0,0,7.788270851,88.89225513
1,1,1,1,0.581752372,54.95116344
0,1,0,0,18.61945828,86.64024902
1,1,0,1,18.98255362,80.45406688
0,0,1,0,18.98306107,85.6167076
0,1,1,1,18.87374173,95.12235052
0,1,0,0,16.30483882,93.97168196
1,1,1,1,13.691921,90.23687135
0,1,1,0,16.89019837,98.95516429
0,0,1,0,12.01092478,83.76550967
1,1,1,0,2.687392278,65.20569198
1,0,0,1,7.824363301,87.10477909
0,1,0,1,19.42589824,98.50148475
0,0,0,0,7.022756272,75.60396803
1,1,0,0,17.35655827,84.38631605
1,0,0,1,1.864229415,64.02899861
1,1,1,0,6.683676848,78.08057242
1,0,0,0,7.019066495,79.49679788
1,0,0,1,1.032050862,73.67714271
0,0,1,1,2.381886604,80.37147308
1,1,1,0,3.863304222,58.54467925
0,0,1,1,16.75631182,92.803516
0,0,0,0,1.268039799,72.51062255
0,0,1,0,5.974018027,69.08541851
1,0,1,1,0.203500052,55.1669182
0,1,1,0,13.91255491,76.08418813
0,0,0,1,12.4060618,77.32602114
1,0,1,1,12.89964524,69.32763372
0,0,1,0,7.487655694,80.59262872
0,1,0,1,4.165356425,85.14233737
1,0,1,0,14.40640427,96.60721197
0,0,0,1,16.22235745,95.02667944
0,0,0,0,2.772029962,69.43688104
0,0,1,1,9.736588559,74.34480149
1,1,0,0,4.97431364,65.03459377
1,0,1,0,3.362137224,67.67684059
1,0,1,1,14.68650627,87.2431941
0,1,1,0,10.76193871,83.88719261
0,1,1,0,4.323706648,74.18966011
1,1,0,0,6.200000224,74.45485248
0,0,1,0,19.33307343,81.2309622
0,1,1,0,16.97359129,84.94547748
1,0,1,0,17.59893486,88.93767319
1,1,0,1,9.200241942,84.77574938
0,0,0,1,12.47614528,88.16720436
0,1,1,1,7.535354804,73.12940915
0,0,0,1,1.554239514,76.14318369
1,1,0,0,8.021386213,59.92726843
1,0,1,0,11.87961506,70.84837652
1,0,1,1,5.742885415,84.71123665
1,0,1,0,16.95901149,79.62141384
0,0,1,1,3.022003183,71.10451354
1,0,1,0,7.342581789,74.85576541
1,0,0,0,2.498078106,66.94093994
1,0,1,1,8.09664268,73.14438944
1,0,1,0,0.793226099,62.80920927
1,1,1,1,5.450987901,63.97570691
0,0,1,1,8.014705102,64.96170298
0,0,1,1,9.563307266,75.74494512
1,1,0,0,10.87392717,81.34318348
0,0,1,0,5.499822596,70.94936585
1,1,0,1,10.46082669,70.58627182
1,0,1,0,10.18009243,79.19881855
0,1,1,1,6.323561018,72.26016071
0,1,1,1,16.60400661,75.23776702
1,0,0,0,10.91282253,85.26825483
1,1,1,1,6.645394375,72.30804257
1,0,1,0,18.94677024,99.51117419
0,0,1,0,16.90224826,82.9580705
1,0,1,0,19.65175623,91.34401731
1,0,1,1,13.84467749,78.33153742
1,1,1,1,7.56445811,68.92797243
0,0,1,0,5.617213334,86.20670253
1,1,0,0,13.26635687,77.88338556
